split,model,train_target_acc,threshold,n_total,no_abstention_accuracy,retained_coverage,retained_accuracy,abstention_rate,error_capture_rate,false_abstain_rate_on_correct,n_retained,n_errors_captured
parity,main:rank_gap+manifold_support,0.5,0.264112,2634,0.2942,0.5843,0.4698,0.4157,0.5611,0.0671,1539,1043
parity,main:rank_gap+manifold_support,0.6,0.520065,2634,0.2942,0.257,0.5702,0.743,0.8435,0.5019,677,1568
parity,main:rank_gap+manifold_support,0.7,0.744865,2634,0.2942,0.0015,0.0,0.9985,0.9978,1.0,4,1855
parity,main:rank_gap+manifold_support,0.8,0.744865,2634,0.2942,0.0015,0.0,0.9985,0.9978,1.0,4,1855
contiguous,main:rank_gap+manifold_support,0.5,0.001065,3311,0.2304,0.8218,0.2804,0.1782,0.2316,0.0,2721,590
contiguous,main:rank_gap+manifold_support,0.6,0.096372,3311,0.2304,0.7282,0.3165,0.2718,0.3532,0.0,2411,900
contiguous,main:rank_gap+manifold_support,0.7,0.36976,3311,0.2304,0.6207,0.3601,0.3793,0.4839,0.0301,2055,1233
contiguous,main:rank_gap+manifold_support,0.8,0.662676,3311,0.2304,0.3963,0.4352,0.6037,0.7092,0.2516,1312,1807
