predictor,concept,target,orientation,coverage,n_kept,accuracy,error_recall_abstained
vote_entropy,support_dispersion,vote_correct,1,0.2,1073,0.9646,0.9436
effective_support,manifold_support,vote_correct,1,1.0,5364,0.8743,0.0
effective_support,manifold_support,vote_correct,1,0.9,4828,0.8964,0.2582
effective_support,manifold_support,vote_correct,1,0.8,4291,0.9154,0.4614
effective_support,manifold_support,vote_correct,1,0.7,3755,0.9387,0.6588
effective_support,manifold_support,vote_correct,1,0.6,3218,0.9553,0.7864
effective_support,manifold_support,vote_correct,1,0.5,2682,0.962,0.8487
effective_support,manifold_support,vote_correct,1,0.4,2146,0.9655,0.8902
effective_support,manifold_support,vote_correct,1,0.3,1609,0.9677,0.9228
effective_support,manifold_support,vote_correct,1,0.2,1073,0.9646,0.9436
max_vote_weight,peak_mass,vote_correct,-1,1.0,5364,0.8743,0.0
max_vote_weight,peak_mass,vote_correct,-1,0.9,4828,0.8969,0.2611
max_vote_weight,peak_mass,vote_correct,-1,0.8,4291,0.9219,0.503
max_vote_weight,peak_mass,vote_correct,-1,0.7,3755,0.9454,0.6958
max_vote_weight,peak_mass,vote_correct,-1,0.6,3218,0.9528,0.7745
max_vote_weight,peak_mass,vote_correct,-1,0.5,2682,0.9545,0.819
max_vote_weight,peak_mass,vote_correct,-1,0.4,2146,0.9553,0.8576
max_vote_weight,peak_mass,vote_correct,-1,0.3,1609,0.9664,0.9199
max_vote_weight,peak_mass,vote_correct,-1,0.2,1073,0.9814,0.9703
n_surviving_votes,support_breadth,vote_correct,1,1.0,5364,0.8743,0.0
n_surviving_votes,support_breadth,vote_correct,1,0.9,4828,0.8962,0.2567
n_surviving_votes,support_breadth,vote_correct,1,0.8,4291,0.9126,0.4436
n_surviving_votes,support_breadth,vote_correct,1,0.7,3755,0.9249,0.5816
n_surviving_votes,support_breadth,vote_correct,1,0.6,3218,0.9369,0.6988
n_surviving_votes,support_breadth,vote_correct,1,0.5,2682,0.9478,0.7923
n_surviving_votes,support_breadth,vote_correct,1,0.4,2146,0.9599,0.8724
n_surviving_votes,support_breadth,vote_correct,1,0.3,1609,0.9702,0.9288
n_surviving_votes,support_breadth,vote_correct,1,0.2,1073,0.972,0.9555
sim_floor_active,floor_level,vote_correct,1,1.0,5364,0.8743,0.0
sim_floor_active,floor_level,vote_correct,1,0.9,4828,0.8906,0.2166
sim_floor_active,floor_level,vote_correct,1,0.8,4291,0.9054,0.3976
sim_floor_active,floor_level,vote_correct,1,0.7,3755,0.9182,0.5445
sim_floor_active,floor_level,vote_correct,1,0.6,3218,0.931,0.6706
sim_floor_active,floor_level,vote_correct,1,0.5,2682,0.9389,0.7567
sim_floor_active,floor_level,vote_correct,1,0.4,2146,0.9515,0.8457
sim_floor_active,floor_level,vote_correct,1,0.3,1609,0.9602,0.905
sim_floor_active,floor_level,vote_correct,1,0.2,1073,0.9646,0.9436
