epoch,contraction,rho_inband,var_inband,n_inband,rho_probe,var_probe,within_probe,margin_probe,offclass_weight,frac_blended,n_vote,top1_top2_margin,median_top1_top2_margin,vote_entropy,effective_support,median_effective_support,max_vote_weight,n_surviving_votes,frac_low_margin,frac_high_entropy,frac_margin_recoverable,frac_margin_borderline,frac_margin_forced,frac_blend_top1_correct,chimera_onset,blend_onset,mean_v_eff,floor_delta_ema,sim_floor_active,occupied,alloc,merged,dropped,merge_rate,acc
0,0.0,nan,nan,0,0.23254816234111786,0.0036126202903687954,0.421573668718338,0.18902552127838135,0.08011165261268616,0.11711711436510086,111,0.06317056715488434,0.052097514271736145,0.43616896867752075,1.813143253326416,1.0,0.7701491713523865,1.8648648262023926,0.4954954981803894,0.46846845746040344,0.8828828930854797,0.018018018454313278,0.09909909963607788,0.38461538461538464,False,False,0.85,0.43921101093292236,0.28921101093292234,128,128,0,0,0.0,0.8984
1,0.031,0.23541869223117828,0.004179890155828536,128,0.23304517567157745,0.003642431693151593,0.4208325743675232,0.18778741359710693,0.08033426105976105,0.11711711436510086,111,0.06292138248682022,0.05072543025016785,0.44190964102745056,1.8307240009307861,1.0,0.7677441239356995,1.882882833480835,0.4954954981803894,0.46846845746040344,0.8738738894462585,0.027027027681469917,0.09909909963607788,0.3076923076923077,False,False,0.6920421123504639,0.4390603691339493,0.2890603691339493,128,0,128,0,1.0,0.8984
2,0.0621,0.23661084473133087,0.0041878957886589685,128,0.23320141434669495,0.0036777020432054996,0.4209405183792114,0.1877390742301941,0.08006976544857025,0.11711711436510086,111,0.06383759528398514,0.05097687244415283,0.42643260955810547,1.8057669401168823,1.0,0.7780836224555969,1.8648648262023926,0.477477490901947,0.45045045018196106,0.8738738894462585,0.027027027681469917,0.09909909963607788,0.3076923076923077,False,False,0.6961635947227478,0.4384991934895516,0.28849919348955155,128,0,128,0,1.0,0.9062
3,0.0931,0.23740337789058685,0.004084594674153896,128,0.23500055074691772,0.004393775016069412,0.41461873054504395,0.17961816489696503,0.08617143332958221,0.12037037312984467,108,0.06371945887804031,0.05105835199356079,0.45718681812286377,1.8984835147857666,1.0,0.7671557068824768,1.9629629850387573,0.48148149251937866,0.46296295523643494,0.8611111044883728,0.018518518656492233,0.12037037312984467,0.3076923076923077,False,False,0.7031925320625305,0.43725476959347725,0.28725476959347723,131,3,125,0,0.9766,0.8984
4,0.1241,0.23843148350715637,0.004109178218555165,128,0.23603412508964539,0.004436342976987362,0.4121565818786621,0.17612242698669434,0.09225315600633621,0.1214953288435936,107,0.06255955249071121,0.040994793176651,0.4685322344303131,1.8948391675949097,1.0,0.7567564845085144,1.9532710313796997,0.5327102541923523,0.4859813153743744,0.8691588640213013,0.009345794096589088,0.1214953288435936,0.3076923076923077,False,False,0.7033936977386475,0.4364886817246676,0.28648868172466757,131,0,128,0,1.0,0.8984
5,0.1552,0.23971869051456451,0.003840513314876892,128,0.23855239152908325,0.004196283873170614,0.4076375365257263,0.16908511519432068,0.09952397644519806,0.13636364042758942,110,0.060250841081142426,0.035100191831588745,0.5008752346038818,1.97725248336792,1.8079109191894531,0.7436493039131165,2.045454502105713,0.581818163394928,0.5181818008422852,0.8272727131843567,0.05454545468091965,0.11818181723356247,0.3333333333333333,False,False,0.712904155254364,0.4350712451556325,0.2850712451556325,137,6,122,0,0.9531,0.8828
6,0.1862,0.24555623531341553,0.003485535059425615,128,0.2425171136856079,0.004156531300395727,0.40352731943130493,0.16101020574569702,0.12142316997051239,0.1621621549129486,111,0.0575132891535759,0.03424370288848877,0.5372039079666138,2.045419216156006,1.8825169801712036,0.7219587564468384,2.117117166519165,0.630630612373352,0.5585585832595825,0.8018018007278442,0.054054055362939835,0.14414414763450623,0.3333333333333333,False,True,0.7126057147979736,0.43523491798809166,0.28523491798809164,138,1,127,0,0.9922,0.875
7,0.2172,0.24736186861991882,0.0034203520408899735,128,0.2487010508775711,0.004059376195073128,0.4026254415512085,0.1539243757724762,0.14597328007221222,0.20720720291137695,111,0.05666101723909378,0.029199451208114624,0.6018523573875427,2.2282044887542725,1.9303851127624512,0.6928195953369141,2.3063063621520996,0.6216216087341309,0.5765765905380249,0.7657657861709595,0.07207207381725311,0.1621621549129486,0.34782608695652173,False,True,0.7171239852905273,0.43500585894856747,0.28500585894856745,143,5,123,0,0.9609,0.8438
8,0.2483,0.24761751294136047,0.0033512051951012367,128,0.2500823140144348,0.004116794094443321,0.3998223543167114,0.14973999559879303,0.15138302743434906,0.2232142835855484,112,0.05582795292139053,0.02716037631034851,0.6102269291877747,2.2531232833862305,1.9404877424240112,0.6893542408943176,2.330357074737549,0.6160714030265808,0.5714285969734192,0.7589285969734192,0.0625,0.1785714328289032,0.44,False,True,0.715798556804657,0.43597093708283213,0.2859709370828321,143,0,128,0,1.0,0.8516
9,0.2793,0.25035524368286133,0.0035789911596566526,128,0.26414406299591064,0.004519394598901272,0.39789143204689026,0.13374736905097961,0.1731240153312683,0.24561403691768646,114,0.052379168570041656,0.035156309604644775,0.6062501668930054,2.2096669673919678,1.8936364650726318,0.6913281679153442,2.28947377204895,0.6315789222717285,0.5964912176132202,0.7456140518188477,0.061403509229421616,0.19298245012760162,0.39285714285714285,False,True,0.7289660573005676,0.43609021145373444,0.2860902114537344,157,14,114,0,0.8906,0.8359
10,0.3103,0.26354721188545227,0.003863166494382675,128,0.269703209400177,0.0044530159793794155,0.3937946557998657,0.12409147620201111,0.17293497920036316,0.2410714328289032,112,0.051129937171936035,0.03400838375091553,0.6122798919677734,2.2296364307403564,1.8853797912597656,0.6928792595863342,2.3125,0.6160714030265808,0.5892857313156128,0.7410714030265808,0.0803571417927742,0.1785714328289032,0.3333333333333333,False,True,0.7237999439239502,0.44016618762853615,0.29016618762853613,161,4,124,0,0.9688,0.8359
11,0.3414,0.2699994742870331,0.003826370322427941,128,0.2796791195869446,0.0044663227163255215,0.3939126133918762,0.11423352360725403,0.16766200959682465,0.25,112,0.04507146403193474,0.02940469980239868,0.6787939071655273,2.3775882720947266,1.970643162727356,0.6618008017539978,2.4732143878936768,0.6607142686843872,0.6428571343421936,0.7321428656578064,0.0714285746216774,0.1964285671710968,0.35714285714285715,False,True,0.7289507389068604,0.4441836407879848,0.29418364078798476,169,8,120,0,0.9375,0.8047
12,0.3724,0.28837263584136963,0.0042762299932377346,128,0.2865588068962097,0.004345806315541267,0.3949914276599884,0.10843265056610107,0.16246262192726135,0.2566371560096741,113,0.04624125733971596,0.030131012201309204,0.6601691842079163,2.3472185134887695,1.9298573732376099,0.6713486313819885,2.4424779415130615,0.6548672318458557,0.6283186078071594,0.7256637215614319,0.06194690242409706,0.21238937973976135,0.3793103448275862,False,True,0.7341592311859131,0.4494084296613805,0.2994084296613805,174,5,123,0,0.9609,0.8281
13,0.4034,0.29249340295791626,0.00467533234774109,128,0.29489320516586304,0.0052565583027899265,0.3952339291572571,0.10034070909023285,0.19884899258613586,0.3125,112,0.0451849102973938,0.030726253986358643,0.6662899851799011,2.3515658378601074,1.9326186180114746,0.6692551374435425,2.4464285373687744,0.6785714030265808,0.6428571343421936,0.6607142686843872,0.0803571417927742,0.2589285671710968,0.4,False,True,0.7414798736572266,0.4542678515306001,0.3042678515306001,184,10,118,0,0.9219,0.7969
14,0.4345,0.30247944593429565,0.00507552918864107,128,0.30445730686187744,0.006293675862252712,0.3976925015449524,0.09323520213365555,0.230080708861351,0.36936935782432556,111,0.04369569942355156,0.028235644102096558,0.7216930389404297,2.4597041606903076,1.9455771446228027,0.6447218656539917,2.5675675868988037,0.7477477192878723,0.7027027010917664,0.630630612373352,0.07207207381725311,0.29729729890823364,0.36585365853658536,False,True,0.7417619824409485,0.4605480659178691,0.3105480659178691,191,7,121,0,0.9453,0.7891
15,0.4655,0.3157496750354767,0.005373784219755429,128,0.3154606223106384,0.0065158214420080185,0.4061916768550873,0.09073103964328766,0.22123819589614868,0.37837839126586914,111,0.040387704968452454,0.027564197778701782,0.765296220779419,2.6372921466827393,1.983028531074524,0.6242807507514954,2.7477476596832275,0.7747747898101807,0.7207207083702087,0.6126126050949097,0.09009008854627609,0.29729729890823364,0.4523809523809524,False,True,0.7490348815917969,0.4665041650687275,0.31650416506872747,204,13,115,0,0.8984,0.8359
16,0.4966,0.3261607885360718,0.005748425953115088,128,0.3181796073913574,0.006554009858518839,0.40658754110336304,0.08840792626142502,0.22031797468662262,0.38738739490509033,111,0.03813086077570915,0.026312261819839478,0.7729295492172241,2.7057137489318848,1.999426245689392,0.6251603960990906,2.819819927215576,0.7657657861709595,0.6936936974525452,0.6036036014556885,0.11711711436510086,0.27927929162979126,0.4883720930232558,False,True,0.7459088563919067,0.4740293936748461,0.32402939367484607,208,4,124,0,0.9688,0.8281
17,0.5276,0.3352208733558655,0.005561654992273901,128,0.34649553894996643,0.006756380200386047,0.40897512435913086,0.06247958168387413,0.30555516481399536,0.4722222089767456,108,0.038383129984140396,0.02507653832435608,0.8736450672149658,2.939323663711548,1.9999972581863403,0.5845476984977722,3.0740740299224854,0.7777777910232544,0.75,0.5092592835426331,0.12962962687015533,0.3611111044883728,0.39215686274509803,False,True,0.7624579668045044,0.4791973874109229,0.32919738741092286,233,25,103,0,0.8047,0.7188
18,0.5586,0.3493703007698059,0.006086728422612708,128,0.35074371099472046,0.006811358965933323,0.4115769863128662,0.06083327531814575,0.2992364764213562,0.44859811663627625,107,0.03905900567770004,0.026023119688034058,0.8419309258460999,2.861595869064331,2.7130794525146484,0.5992358922958374,2.990654230117798,0.7476635575294495,0.7196261882781982,0.5233644843101501,0.10280373692512512,0.37383177876472473,0.3541666666666667,False,True,0.7497274875640869,0.48856816695367455,0.33856816695367453,235,2,126,0,0.9844,0.7109
