pair_idx,class_a,class_b,t,store,cos_top1,mah_top1,overlap_10,overlap_25,flip_top1,rank_corr,sim_delta_mean,sim_delta_max
0,12,70,0.0,S1,12,12,10,25,0,1.0,1.4850496654617018e-06,4.291534423828125e-06
0,12,70,0.0,S3,12,12,10,25,0,1.0,2.613067636048072e-06,5.781650543212891e-06
0,12,70,0.009999999776482582,S1,12,12,10,25,0,1.0,1.466274284211977e-06,4.231929779052734e-06
0,12,70,0.009999999776482582,S3,12,12,10,25,0,1.0,2.626776677061571e-06,5.841255187988281e-06
0,12,70,0.019999999552965164,S1,12,12,10,25,0,1.0,1.4811754454058246e-06,4.231929779052734e-06
0,12,70,0.019999999552965164,S3,12,12,10,25,0,1.0,2.6470422653801506e-06,5.7220458984375e-06
0,12,70,0.029999999329447746,S1,12,12,10,25,0,1.0,1.451969069421466e-06,4.231929779052734e-06
0,12,70,0.029999999329447746,S3,12,12,10,25,0,1.0,2.625584556881222e-06,5.7220458984375e-06
0,12,70,0.03999999910593033,S1,12,12,10,25,0,1.0,1.4594196500183898e-06,4.231929779052734e-06
0,12,70,0.03999999910593033,S3,12,12,10,25,0,1.0,2.5880335670080967e-06,5.7220458984375e-06
0,12,70,0.04999999701976776,S1,12,12,10,25,0,1.0,1.4898180324962595e-06,4.172325134277344e-06
0,12,70,0.04999999701976776,S3,12,12,10,25,0,1.0,2.5850533802440623e-06,5.7220458984375e-06
0,12,70,0.05999999865889549,S1,12,12,10,25,0,1.0,1.4781951449549524e-06,4.172325134277344e-06
0,12,70,0.05999999865889549,S3,12,12,10,25,0,1.0,2.5713443392305635e-06,5.900859832763672e-06
0,12,70,0.07000000029802322,S1,12,12,10,25,0,1.0,1.4668702306153136e-06,4.1425228118896484e-06
0,12,70,0.07000000029802322,S3,12,12,10,25,0,1.0,2.586245500424411e-06,5.781650543212891e-06
0,12,70,0.07999999821186066,S1,12,12,10,25,0,1.0,1.4504789760394488e-06,3.7550926208496094e-06
0,12,70,0.07999999821186066,S3,12,12,10,25,0,1.0,2.5674701191746863e-06,5.841255187988281e-06
0,12,70,0.08999999612569809,S1,12,12,10,25,0,1.0,1.486539758843719e-06,3.725290298461914e-06
0,12,70,0.08999999612569809,S3,12,12,10,25,0,1.0,2.5704503059387207e-06,5.9604644775390625e-06
0,12,70,0.09999999403953552,S1,12,12,10,25,0,1.0,1.4692544709760114e-06,3.635883331298828e-06
