arm,epoch,event_class,record_tag,record_seq,outcome,pre_sim,payload_cos_incumbent,effective_vigilance,incumbent_slot,incumbent_hit_counts,incumbent_last_write_seq,incumbent_n_records,owner_slot,injected_label
clean,0,initial,clean,61,plain-miss,nan,nan,0.85,-1,0,-1,0,61,-1
clean,0,initial,clean,62,plain-miss,nan,nan,0.85,-1,0,-1,0,62,-1
clean,0,initial,clean,63,plain-miss,nan,nan,0.85,-1,0,-1,0,63,-1
clean,0,initial,clean,64,plain-miss,nan,nan,0.85,-1,0,-1,0,64,-1
clean,0,initial,clean,65,plain-miss,nan,nan,0.85,-1,0,-1,0,65,-1
clean,0,initial,clean,66,plain-miss,nan,nan,0.85,-1,0,-1,0,66,-1
clean,0,initial,clean,67,plain-miss,nan,nan,0.85,-1,0,-1,0,67,-1
clean,0,initial,clean,68,plain-miss,nan,nan,0.85,-1,0,-1,0,68,-1
clean,0,initial,clean,69,plain-miss,nan,nan,0.85,-1,0,-1,0,69,-1
clean,0,initial,clean,70,plain-miss,nan,nan,0.85,-1,0,-1,0,70,-1
clean,0,initial,clean,71,plain-miss,nan,nan,0.85,-1,0,-1,0,71,-1
clean,0,initial,clean,72,plain-miss,nan,nan,0.85,-1,0,-1,0,72,-1
clean,0,initial,clean,73,plain-miss,nan,nan,0.85,-1,0,-1,0,73,-1
clean,0,initial,clean,74,plain-miss,nan,nan,0.85,-1,0,-1,0,74,-1
clean,0,initial,clean,75,plain-miss,nan,nan,0.85,-1,0,-1,0,75,-1
clean,0,initial,clean,76,plain-miss,nan,nan,0.85,-1,0,-1,0,76,-1
clean,0,initial,clean,77,plain-miss,nan,nan,0.85,-1,0,-1,0,77,-1
clean,0,initial,clean,78,plain-miss,nan,nan,0.85,-1,0,-1,0,78,-1
clean,0,initial,clean,79,plain-miss,nan,nan,0.85,-1,0,-1,0,79,-1
clean,0,initial,clean,80,plain-miss,nan,nan,0.85,-1,0,-1,0,80,-1
clean,0,initial,clean,81,plain-miss,nan,nan,0.85,-1,0,-1,0,81,-1
clean,0,initial,clean,82,plain-miss,nan,nan,0.85,-1,0,-1,0,82,-1
clean,0,initial,clean,83,plain-miss,nan,nan,0.85,-1,0,-1,0,83,-1
clean,0,initial,clean,84,plain-miss,nan,nan,0.85,-1,0,-1,0,84,-1
clean,0,initial,clean,85,plain-miss,nan,nan,0.85,-1,0,-1,0,85,-1
clean,0,initial,clean,86,plain-miss,nan,nan,0.85,-1,0,-1,0,86,-1
clean,0,initial,clean,87,plain-miss,nan,nan,0.85,-1,0,-1,0,87,-1
clean,0,initial,clean,88,plain-miss,nan,nan,0.85,-1,0,-1,0,88,-1
clean,0,initial,clean,89,plain-miss,nan,nan,0.85,-1,0,-1,0,89,-1
clean,0,initial,clean,90,plain-miss,nan,nan,0.85,-1,0,-1,0,90,-1
clean,0,initial,clean,91,plain-miss,nan,nan,0.85,-1,0,-1,0,91,-1
clean,0,initial,clean,92,plain-miss,nan,nan,0.85,-1,0,-1,0,92,-1
clean,0,initial,clean,93,plain-miss,nan,nan,0.85,-1,0,-1,0,93,-1
clean,0,initial,clean,94,plain-miss,nan,nan,0.85,-1,0,-1,0,94,-1
clean,0,initial,clean,95,plain-miss,nan,nan,0.85,-1,0,-1,0,95,-1
clean,0,initial,clean,96,plain-miss,nan,nan,0.85,-1,0,-1,0,96,-1
clean,0,initial,clean,97,plain-miss,nan,nan,0.85,-1,0,-1,0,97,-1
clean,0,initial,clean,98,plain-miss,nan,nan,0.85,-1,0,-1,0,98,-1
clean,0,initial,clean,99,plain-miss,nan,nan,0.85,-1,0,-1,0,99,-1
clean,0,initial,clean,100,plain-miss,nan,nan,0.85,-1,0,-1,0,100,-1
clean,0,initial,clean,101,plain-miss,nan,nan,0.85,-1,0,-1,0,101,-1
clean,0,initial,clean,102,plain-miss,nan,nan,0.85,-1,0,-1,0,102,-1
clean,0,initial,clean,103,plain-miss,nan,nan,0.85,-1,0,-1,0,103,-1
clean,0,initial,clean,104,plain-miss,nan,nan,0.85,-1,0,-1,0,104,-1
clean,0,initial,clean,105,plain-miss,nan,nan,0.85,-1,0,-1,0,105,-1
clean,0,initial,clean,106,plain-miss,nan,nan,0.85,-1,0,-1,0,106,-1
clean,0,initial,clean,107,plain-miss,nan,nan,0.85,-1,0,-1,0,107,-1
clean,0,initial,clean,108,plain-miss,nan,nan,0.85,-1,0,-1,0,108,-1
clean,0,initial,clean,109,plain-miss,nan,nan,0.85,-1,0,-1,0,109,-1
clean,0,initial,clean,110,plain-miss,nan,nan,0.85,-1,0,-1,0,110,-1
clean,0,initial,clean,111,plain-miss,nan,nan,0.85,-1,0,-1,0,111,-1
clean,0,initial,clean,112,plain-miss,nan,nan,0.85,-1,0,-1,0,112,-1
clean,0,initial,clean,113,plain-miss,nan,nan,0.85,-1,0,-1,0,113,-1
clean,0,initial,clean,114,plain-miss,nan,nan,0.85,-1,0,-1,0,114,-1
clean,0,initial,clean,115,plain-miss,nan,nan,0.85,-1,0,-1,0,115,-1
clean,0,initial,clean,116,plain-miss,nan,nan,0.85,-1,0,-1,0,116,-1
clean,0,initial,clean,117,plain-miss,nan,nan,0.85,-1,0,-1,0,117,-1
clean,0,initial,clean,118,plain-miss,nan,nan,0.85,-1,0,-1,0,118,-1
clean,0,initial,clean,119,plain-miss,nan,nan,0.85,-1,0,-1,0,119,-1
clean,0,initial,clean,120,plain-miss,nan,nan,0.85,-1,0,-1,0,120,-1
clean,0,initial,clean,121,plain-miss,nan,nan,0.85,-1,0,-1,0,121,-1
clean,0,initial,clean,122,plain-miss,nan,nan,0.85,-1,0,-1,0,122,-1
clean,0,initial,clean,123,plain-miss,nan,nan,0.85,-1,0,-1,0,123,-1
clean,0,initial,clean,124,plain-miss,nan,nan,0.85,-1,0,-1,0,124,-1
clean,0,initial,clean,125,plain-miss,nan,nan,0.85,-1,0,-1,0,125,-1
clean,0,initial,clean,126,plain-miss,nan,nan,0.85,-1,0,-1,0,126,-1
clean,0,initial,clean,127,plain-miss,nan,nan,0.85,-1,0,-1,0,127,-1
clean,1,duplicate-rewrite,clean,128,absorbed,1.0,1.0,0.703577,0,1,0,1,0,-1
clean,1,duplicate-rewrite,clean,129,absorbed,1.0,1.0,0.712211,1,1,1,1,1,-1
clean,1,duplicate-rewrite,clean,130,absorbed,1.0,1.0,0.730608,2,1,2,1,2,-1
clean,1,duplicate-rewrite,clean,131,absorbed,1.0,1.0,0.737297,3,1,3,1,3,-1
clean,1,duplicate-rewrite,clean,132,absorbed,1.0,1.0,0.715959,4,1,4,1,4,-1
clean,1,duplicate-rewrite,clean,133,absorbed,1.0,1.0,0.71361,5,1,5,1,5,-1
clean,1,duplicate-rewrite,clean,134,absorbed,1.0,1.0,0.740463,6,1,6,1,6,-1
clean,1,duplicate-rewrite,clean,135,absorbed,1.0,1.0,0.708759,7,1,7,1,7,-1
clean,1,duplicate-rewrite,clean,136,absorbed,1.0,1.0,0.715507,8,1,8,1,8,-1
clean,1,duplicate-rewrite,clean,137,absorbed,1.0,1.0,0.716508,9,1,9,1,9,-1
clean,1,duplicate-rewrite,clean,138,absorbed,1.0,1.0,0.677123,10,1,10,1,10,-1
clean,1,duplicate-rewrite,clean,139,absorbed,1.0,1.0,0.705925,11,1,11,1,11,-1
clean,1,duplicate-rewrite,clean,140,absorbed,1.0,1.0,0.813328,12,1,12,1,12,-1
clean,1,duplicate-rewrite,clean,141,absorbed,1.0,1.0,0.734841,13,1,13,1,13,-1
