arm,epoch,slot,decode,hit_counts,last_write_seq,usage,n_records,is_contra_fork,is_stale_superseded,is_current_fork,is_merge_candidate,role
stale-oneshot,0,89,2,1,89,1.0,1,0,0,0,0,clean
stale-oneshot,0,90,2,1,90,1.0,1,0,0,0,0,clean
stale-oneshot,0,91,2,1,91,1.0,1,0,0,0,0,clean
stale-oneshot,0,92,2,1,92,1.0,1,0,0,0,0,clean
stale-oneshot,0,93,2,1,93,1.0,1,0,0,0,0,clean
stale-oneshot,0,94,2,1,94,1.0,1,0,0,0,0,clean
stale-oneshot,0,95,2,1,95,1.0,1,0,0,0,0,clean
stale-oneshot,0,96,3,1,96,1.0,1,0,0,0,0,clean
stale-oneshot,0,97,3,1,97,1.0,1,0,0,0,0,clean
stale-oneshot,0,98,3,1,98,1.0,1,0,0,0,0,clean
stale-oneshot,0,99,3,1,99,1.0,1,0,0,0,0,clean
stale-oneshot,0,100,3,1,100,1.0,1,0,0,0,0,clean
stale-oneshot,0,101,3,1,101,1.0,1,0,0,0,0,clean
stale-oneshot,0,102,3,1,102,1.0,1,0,0,0,0,clean
stale-oneshot,0,103,3,1,103,1.0,1,0,0,0,0,clean
stale-oneshot,0,104,3,1,104,1.0,1,0,0,0,0,clean
stale-oneshot,0,105,3,1,105,1.0,1,0,0,0,0,clean
stale-oneshot,0,106,3,1,106,1.0,1,0,0,0,0,clean
stale-oneshot,0,107,3,1,107,1.0,1,0,0,0,0,clean
stale-oneshot,0,108,3,1,108,1.0,1,0,0,0,0,clean
stale-oneshot,0,109,3,1,109,1.0,1,0,0,0,0,clean
stale-oneshot,0,110,3,1,110,1.0,1,0,0,0,0,clean
stale-oneshot,0,111,3,1,111,1.0,1,0,0,0,0,clean
stale-oneshot,0,112,3,1,112,1.0,1,0,0,0,0,clean
stale-oneshot,0,113,3,1,113,1.0,1,0,0,0,0,clean
stale-oneshot,0,114,3,1,114,1.0,1,0,0,0,0,clean
stale-oneshot,0,115,3,1,115,1.0,1,0,0,0,0,clean
stale-oneshot,0,116,3,1,116,1.0,1,0,0,0,0,clean
stale-oneshot,0,117,3,1,117,1.0,1,0,0,0,0,clean
stale-oneshot,0,118,3,1,118,1.0,1,0,0,0,0,clean
stale-oneshot,0,119,3,1,119,1.0,1,0,0,0,0,clean
stale-oneshot,0,120,3,1,120,1.0,1,0,0,0,0,clean
stale-oneshot,0,121,3,1,121,1.0,1,0,0,0,0,clean
stale-oneshot,0,122,3,1,122,1.0,1,0,0,0,0,clean
stale-oneshot,0,123,3,1,123,1.0,1,0,0,0,0,clean
stale-oneshot,0,124,3,1,124,1.0,1,0,0,0,0,clean
stale-oneshot,0,125,3,1,125,1.0,1,0,0,0,0,clean
stale-oneshot,0,126,3,1,126,1.0,1,0,0,0,0,clean
stale-oneshot,0,127,3,1,127,1.0,1,0,0,0,0,clean
stale-oneshot,1,0,0,2,128,2.0,2,0,0,0,0,clean
stale-oneshot,1,1,0,2,129,2.0,2,0,0,0,0,clean
stale-oneshot,1,2,0,2,130,2.0,2,0,0,0,0,clean
stale-oneshot,1,3,0,2,131,2.0,2,0,0,0,0,clean
stale-oneshot,1,4,0,2,132,2.0,2,0,0,0,0,clean
stale-oneshot,1,5,0,2,133,2.0,2,0,0,0,0,clean
stale-oneshot,1,6,0,2,134,2.0,2,0,0,0,0,clean
stale-oneshot,1,7,0,2,135,2.0,2,0,0,0,0,clean
stale-oneshot,1,8,0,2,136,2.0,2,0,0,0,0,clean
stale-oneshot,1,9,0,2,137,2.0,2,0,0,0,0,clean
stale-oneshot,1,10,0,2,138,2.0,2,0,0,0,0,clean
