epoch,contraction,rho_inband,var_inband,n_inband,rho_probe,var_probe,within_probe,margin_probe,offclass_weight,frac_blended,n_vote,top1_top2_margin,median_top1_top2_margin,vote_entropy,effective_support,median_effective_support,max_vote_weight,n_surviving_votes,frac_low_margin,frac_high_entropy,frac_margin_recoverable,frac_margin_borderline,frac_margin_forced,frac_blend_top1_correct,chimera_onset,blend_onset,mean_v_eff,floor_delta_ema,sim_floor_active,occupied,alloc,merged,dropped,merge_rate,acc
0,0.0,nan,nan,0,0.23254816234111786,0.0036126202903687954,0.421573668718338,0.18902552127838135,0.08341334760189056,0.12612612545490265,111,0.06317056715488434,0.052097514271736145,0.7772432565689087,2.7302279472351074,1.9990572929382324,0.6655192971229553,3.180180072784424,0.4954954981803894,0.7027027010917664,0.8828828930854797,0.018018018454313278,0.09909909963607788,0.42857142857142855,False,False,0.85,0.43921101093292236,0.28921101093292234,128,128,0,0,0.0,0.8984
1,0.031,0.23541869223117828,0.004179890155828536,128,0.23304517567157745,0.003642431693151593,0.4208325743675232,0.18778741359710693,0.083683542907238,0.12612612545490265,111,0.06292138248682022,0.05072543025016785,0.789035975933075,2.7699780464172363,1.9999312162399292,0.6608923673629761,3.2252252101898193,0.4954954981803894,0.7027027010917664,0.8738738894462585,0.027027027681469917,0.09909909963607788,0.35714285714285715,False,False,0.39485108852386475,0.4390603691339493,0.2890603691339493,128,0,128,0,1.0,0.8984
2,0.0621,0.23661084473133087,0.0041878957886589685,128,0.23320141434669495,0.0036777020432054996,0.4209405183792114,0.1877390742301941,0.08353827893733978,0.12612612545490265,111,0.06383759528398514,0.05097687244415283,0.7976071238517761,2.7872040271759033,1.9994608163833618,0.6622836589813232,3.2522523403167725,0.477477490901947,0.6936936974525452,0.8738738894462585,0.027027027681469917,0.09909909963607788,0.35714285714285715,False,False,0.39482757449150085,0.4384991934895516,0.28849919348955155,128,0,128,0,1.0,0.9062
3,0.0931,0.23740337789058685,0.004084594674153896,128,0.2305130660533905,0.0034382683224976063,0.41464170813560486,0.18412864208221436,0.08225693553686142,0.12962962687015533,108,0.06180664524435997,0.04880470037460327,0.8015065789222717,2.8016998767852783,2.260368585586548,0.6567640900611877,3.222222328186035,0.5,0.6944444179534912,0.8703703880310059,0.018518518656492233,0.1111111119389534,0.42857142857142855,False,False,0.3951370120048523,0.43725476959347725,0.28725476959347723,128,0,128,0,1.0,0.9062
4,0.1241,0.23790225386619568,0.00410821290667851,128,0.23171360790729523,0.0034675647038966417,0.4122588634490967,0.18054527044296265,0.08838561177253723,0.13084112107753754,107,0.06070483848452568,0.038967251777648926,0.7936135530471802,2.788489818572998,2.146355628967285,0.6600447297096252,3.242990732192993,0.5420560836791992,0.6822429895401001,0.8785046935081482,0.009345794096589088,0.11214952915906906,0.42857142857142855,False,False,0.41231822967529297,0.43588440089523794,0.2858844008952379,128,0,128,0,1.0,0.9062
5,0.1552,0.23830005526542664,0.0038988449334018682,128,0.22945527732372284,0.0031966206151992083,0.4056098461151123,0.17615458369255066,0.08422055095434189,0.13084112107753754,107,0.05967017635703087,0.03565573692321777,0.8134993314743042,2.892573595046997,1.998433232307434,0.6531818509101868,3.3738317489624023,0.5794392228126526,0.7009345889091492,0.8691588640213013,0.037383176386356354,0.09345794469118118,0.5,False,False,0.40644532442092896,0.4339004022100568,0.2839004022100568,128,0,128,0,1.0,0.8828
6,0.1862,0.23891203105449677,0.0037345354440760925,128,0.2319333702325821,0.0030679835472255945,0.4016351103782654,0.1697017401456833,0.10656760632991791,0.1666666716337204,108,0.057273298501968384,0.034793585538864136,0.8552340865135193,3.0390071868896484,2.3617913722991943,0.6332817077636719,3.5370371341705322,0.6296296119689941,0.7222222089767456,0.8518518805503845,0.03703703731298447,0.1111111119389534,0.5,False,True,0.39426323771476746,0.4318245108919442,0.28182451089194416,128,0,128,0,1.0,0.8828
7,0.2172,0.23963092267513275,0.0036518291378013767,128,0.2341807782649994,0.002833188744261861,0.39922940731048584,0.16504864394664764,0.11643920838832855,0.17431192100048065,109,0.05872437357902527,0.03648406267166138,0.8522102236747742,3.078460931777954,2.387322187423706,0.6398600339889526,3.587156057357788,0.5871559381484985,0.6880733966827393,0.8256880640983582,0.06422018259763718,0.11009174585342407,0.42105263157894735,False,True,0.3968667685985565,0.42966248893711867,0.27966248893711865,128,0,128,0,1.0,0.8516
8,0.2483,0.24038903415203094,0.0035623924380006056,128,0.23489949107170105,0.0028718889225274324,0.39667457342147827,0.16177508234977722,0.12102662771940231,0.1818181872367859,110,0.05703994259238243,0.03348550200462341,0.8820932507514954,3.1392099857330322,2.4821012020111084,0.6256428360939026,3.6636364459991455,0.6000000238418579,0.7090908885002136,0.8272727131843567,0.04545454680919647,0.12727272510528564,0.45,False,True,0.38724178075790405,0.42773044977164776,0.27773044977164774,128,0,128,0,1.0,0.8438
9,0.2793,0.23997792601585388,0.0036073133900833554,128,0.24358662962913513,0.0032225484028458595,0.38992950320243835,0.14634282886981964,0.1464403122663498,0.23423422873020172,111,0.055471308529376984,0.03448981046676636,0.9031664133071899,3.1460471153259277,2.5026631355285645,0.6128818392753601,3.6576576232910156,0.6396396160125732,0.7387387156486511,0.8018018007278442,0.045045044273138046,0.15315315127372742,0.5,False,True,0.38886234164237976,0.4252650786063955,0.2752650786063955,130,2,126,0,0.9844,0.8516
