epoch,contraction,rho_inband,var_inband,n_inband,rho_probe,var_probe,within_probe,margin_probe,offclass_weight,frac_blended,n_vote,top1_top2_margin,median_top1_top2_margin,vote_entropy,effective_support,median_effective_support,max_vote_weight,n_surviving_votes,frac_low_margin,frac_high_entropy,frac_margin_recoverable,frac_margin_borderline,frac_margin_forced,frac_blend_top1_correct,chimera_onset,blend_onset,mean_v_eff,floor_delta_ema,sim_floor_active,occupied,alloc,merged,dropped,merge_rate,acc
0,0.0,nan,nan,0,0.23254816234111786,0.0036126202903687954,0.421573668718338,0.18902552127838135,0.08755414187908173,0.14414414763450623,111,0.06317056715488434,0.052097514271736145,1.0803096294403076,3.798387050628662,2.9004945755004883,0.6081337928771973,7.450450420379639,0.4954954981803894,0.7027027010917664,0.8828828930854797,0.018018018454313278,0.09909909963607788,0.5,False,False,0.85,0.43921101093292236,0.28921101093292234,128,128,0,0,0.0,0.8984
1,0.031,0.23541869223117828,0.004179890155828536,128,0.23304517567157745,0.003642431693151593,0.4208325743675232,0.18778741359710693,0.08805307745933533,0.14414414763450623,111,0.06292138248682022,0.05072543025016785,1.086930751800537,3.835935115814209,2.9004945755004883,0.6048840880393982,7.46846866607666,0.4954954981803894,0.7027027010917664,0.8738738894462585,0.027027027681469917,0.09909909963607788,0.4375,False,False,0.6920421123504639,0.4390603691339493,0.2890603691339493,128,0,128,0,1.0,0.8984
2,0.0621,0.23661084473133087,0.0041878957886589685,128,0.23320141434669495,0.0036777020432054996,0.4209405183792114,0.1877390742301941,0.08792237937450409,0.14414414763450623,111,0.06383759528398514,0.05097687244415283,1.1014931201934814,3.904998540878296,2.941128730773926,0.6052064895629883,7.6306304931640625,0.477477490901947,0.6936936974525452,0.8738738894462585,0.027027027681469917,0.09909909963607788,0.4375,False,False,0.6961635947227478,0.4384991934895516,0.28849919348955155,128,0,128,0,1.0,0.9062
3,0.0931,0.23740337789058685,0.004084594674153896,128,0.23500055074691772,0.004393775016069412,0.41461873054504395,0.17961816489696503,0.09644604474306107,0.14814814925193787,108,0.06371945887804031,0.05105835199356079,1.1266112327575684,4.018921852111816,2.9763383865356445,0.5967028141021729,7.722222328186035,0.48148149251937866,0.6944444179534912,0.8611111044883728,0.018518518656492233,0.12037037312984467,0.4375,False,False,0.7031925320625305,0.43725476959347725,0.28725476959347723,131,3,125,0,0.9766,0.8984
4,0.1241,0.23843148350715637,0.004109178218555165,128,0.23603412508964539,0.004436342976987362,0.4121565818786621,0.17612242698669434,0.10247544199228287,0.14953270554542542,107,0.06255955249071121,0.040994793176651,1.1068758964538574,4.006401062011719,2.963869094848633,0.6034908294677734,7.719625949859619,0.5327102541923523,0.672897219657898,0.8691588640213013,0.009345794096589088,0.1214953288435936,0.4375,False,True,0.7033936977386475,0.4364886817246676,0.28648868172466757,131,0,128,0,1.0,0.8984
5,0.1552,0.23971869051456451,0.003840513314876892,128,0.23855239152908325,0.004196283873170614,0.4076375365257263,0.16908511519432068,0.10751006752252579,0.16363635659217834,110,0.060250841081142426,0.035100191831588745,1.0961636304855347,4.069977283477783,2.9562604427337646,0.606489360332489,7.636363506317139,0.581818163394928,0.6545454263687134,0.8272727131843567,0.05454545468091965,0.11818181723356247,0.4444444444444444,False,True,0.712904155254364,0.4350712451556325,0.2850712451556325,137,6,122,0,0.9531,0.875
6,0.1862,0.24555623531341553,0.003485535059425615,128,0.2425171136856079,0.004156531300395727,0.40352731943130493,0.16101020574569702,0.13112424314022064,0.19819819927215576,111,0.0575132891535759,0.03424370288848877,1.1170340776443481,4.163404941558838,2.9768824577331543,0.5921406149864197,7.567567348480225,0.630630612373352,0.684684693813324,0.8018018007278442,0.054054055362939835,0.14414414763450623,0.45454545454545453,False,True,0.7126057147979736,0.43523491798809166,0.28523491798809164,138,1,127,0,0.9922,0.8672
7,0.2172,0.24736186861991882,0.0034203520408899735,128,0.2487010508775711,0.004059376195073128,0.4026254415512085,0.1539243757724762,0.15541650354862213,0.23423422873020172,111,0.05666101723909378,0.029199451208114624,1.205479383468628,4.5161261558532715,3.40065336227417,0.5600035786628723,8.08108139038086,0.6216216087341309,0.7297297120094299,0.7657657861709595,0.07207207381725311,0.1621621549129486,0.4230769230769231,False,True,0.7171239852905273,0.43500585894856747,0.28500585894856745,143,5,123,0,0.9609,0.8359
8,0.2483,0.24761751294136047,0.0033512051951012367,128,0.2500823140144348,0.004116794094443321,0.3998223543167114,0.14973999559879303,0.15939755737781525,0.25,112,0.05582795292139053,0.02716037631034851,1.1938806772232056,4.495362281799316,3.3785107135772705,0.5606324076652527,7.8035712242126465,0.6160714030265808,0.7232142686843872,0.7589285969734192,0.0625,0.1785714328289032,0.5,False,True,0.715798556804657,0.43597093708283213,0.2859709370828321,143,0,128,0,1.0,0.8438
9,0.2793,0.25035524368286133,0.0035789911596566526,128,0.26414406299591064,0.004519394598901272,0.39789143204689026,0.13374736905097961,0.18325887620449066,0.3070175349712372,114,0.052379168570041656,0.035156309604644775,1.2275574207305908,4.581750392913818,3.3902552127838135,0.5524690747261047,7.912280559539795,0.6315789222717285,0.7631579041481018,0.7456140518188477,0.061403509229421616,0.19298245012760162,0.5142857142857142,False,True,0.7289660573005676,0.43609021145373444,0.2860902114537344,157,14,114,0,0.8906,0.8281
10,0.3103,0.26354721188545227,0.003863166494382675,128,0.269703209400177,0.0044530159793794155,0.3937946557998657,0.12409147620201111,0.1798936128616333,0.2946428656578064,112,0.051129937171936035,0.03400838375091553,1.254840612411499,4.746494770050049,3.7830917835235596,0.5445459485054016,7.910714149475098,0.6160714030265808,0.7678571343421936,0.7410714030265808,0.0803571417927742,0.1785714328289032,0.45454545454545453,False,True,0.7237999439239502,0.44016618762853615,0.29016618762853613,161,4,124,0,0.9688,0.8281
11,0.3414,0.2699994742870331,0.003826370322427941,128,0.2796791195869446,0.0044663227163255215,0.3939126133918762,0.11423352360725403,0.18491022288799286,0.3303571343421936,112,0.04507146403193474,0.02940469980239868,1.3155714273452759,4.956130504608154,3.871540069580078,0.5180243253707886,8.026785850524902,0.6607142686843872,0.7946428656578064,0.7321428656578064,0.0714285746216774,0.1964285671710968,0.5135135135135135,False,True,0.7289507389068604,0.4441836407879848,0.29418364078798476,169,8,120,0,0.9375,0.7969
12,0.3724,0.28837263584136963,0.0042762299932377346,128,0.2865588068962097,0.004345806315541267,0.3949914276599884,0.10843265056610107,0.18510015308856964,0.32743361592292786,113,0.04624125733971596,0.030131012201309204,1.260422706604004,4.76555871963501,3.6640312671661377,0.5378875732421875,7.69911527633667,0.6548672318458557,0.778761088848114,0.7256637215614319,0.06194690242409706,0.21238937973976135,0.5135135135135135,False,True,0.7341592311859131,0.4494084296613805,0.2994084296613805,174,5,123,0,0.9609,0.8125
13,0.4034,0.29249340295791626,0.00467533234774109,128,0.29489320516586304,0.0052565583027899265,0.3952339291572571,0.10034070909023285,0.21395571529865265,0.3571428656578064,112,0.0451849102973938,0.030726253986358643,1.2987878322601318,5.026090145111084,4.042352676391602,0.5293135046958923,8.116071701049805,0.6785714030265808,0.7767857313156128,0.6607142686843872,0.0803571417927742,0.2589285671710968,0.475,False,True,0.7414798736572266,0.4542678515306001,0.3042678515306001,184,10,118,0,0.9219,0.7891
14,0.4345,0.30247944593429565,0.00507552918864107,128,0.30445730686187744,0.006293675862252712,0.3976925015449524,0.09323520213365555,0.23987430334091187,0.3963963985443115,111,0.04369569942355156,0.028235644102096558,1.3654488325119019,5.275202751159668,4.511147499084473,0.507694661617279,8.432432174682617,0.7477477192878723,0.7837837934494019,0.630630612373352,0.07207207381725311,0.29729729890823364,0.4090909090909091,False,True,0.7417619824409485,0.4605480659178691,0.3105480659178691,191,7,121,0,0.9453,0.7891
15,0.4655,0.3157496750354767,0.005373784219755429,128,0.3154606223106384,0.0065158214420080185,0.4061916768550873,0.09073103964328766,0.23775334656238556,0.477477490901947,111,0.040387704968452454,0.027564197778701782,1.439789891242981,5.664786338806152,4.707553386688232,0.4827454686164856,9.00900936126709,0.7747747898101807,0.8198198080062866,0.6126126050949097,0.09009008854627609,0.29729729890823364,0.5660377358490566,False,True,0.7490348815917969,0.4665041650687275,0.31650416506872747,204,13,115,0,0.8984,0.8359
16,0.4966,0.3261607885360718,0.005748425953115088,128,0.3181796073913574,0.006554009858518839,0.40658754110336304,0.08840792626142502,0.23864996433258057,0.45045045018196106,111,0.03813086077570915,0.026312261819839478,1.4297065734863281,5.736363410949707,4.735628604888916,0.484517902135849,8.792792320251465,0.7657657861709595,0.8198198080062866,0.6036036014556885,0.11711711436510086,0.27927929162979126,0.56,False,True,0.7459088563919067,0.4740293936748461,0.32402939367484607,208,4,124,0,0.9688,0.8281
17,0.5276,0.3352208733558655,0.005561654992273901,128,0.34649553894996643,0.006756380200386047,0.40897512435913086,0.06247958168387413,0.32275816798210144,0.5370370149612427,108,0.038383129984140396,0.02507653832435608,1.6389505863189697,6.798191070556641,5.15425443649292,0.4257088303565979,10.370369911193848,0.7777777910232544,0.8888888955116272,0.5092592835426331,0.12962962687015533,0.3611111044883728,0.46551724137931033,False,True,0.7624579668045044,0.4791973874109229,0.32919738741092286,233,25,103,0,0.8047,0.7656
18,0.5586,0.3493703007698059,0.006086728422612708,128,0.35074371099472046,0.006811358965933323,0.4115769863128662,0.06083327531814575,0.3196309506893158,0.5233644843101501,107,0.03905900567770004,0.026023119688034058,1.5720113515853882,6.438498020172119,4.993215084075928,0.4414377510547638,9.55140209197998,0.7476635575294495,0.8691588640213013,0.5233644843101501,0.10280373692512512,0.37383177876472473,0.44642857142857145,False,True,0.7497274875640869,0.48856816695367455,0.33856816695367453,235,2,126,0,0.9844,0.7422
19,0.5897,0.35498014092445374,0.006287330674132896,128,0.3598227798938751,0.006923019886016846,0.416827917098999,0.0570051483809948,0.3298112452030182,0.5925925970077515,108,0.036627739667892456,0.024442672729492188,1.5959492921829224,6.4735846519470215,5.050707817077637,0.4296795129776001,9.44444465637207,0.7777777910232544,0.8796296119689941,0.49074074625968933,0.10185185074806213,0.40740740299224854,0.484375,False,True,0.7549450397491455,0.49610930090756855,0.34610930090756853,244,9,119,0,0.9297,0.7422
20,0.6207,0.36598068475723267,0.006608960404204112,128,0.36689338088035583,0.006979970261454582,0.41491496562957764,0.0480215884745121,0.35345426201820374,0.6111111044883728,108,0.03587915375828743,0.025204598903656006,1.545361876487732,6.195910930633545,4.58512020111084,0.43955788016319275,8.86111068725586,0.7962962985038757,0.8703703880310059,0.48148149251937866,0.09259258955717087,0.42592594027519226,0.48484848484848486,False,True,0.757864773273468,0.503604102780923,0.353604102780923,252,8,120,0,0.9375,0.7266
21,0.6517,0.37493616342544556,0.006237934925021449,128,0.37526822090148926,0.006525538861751556,0.4135500192642212,0.03828180208802223,0.3479784429073334,0.5740740895271301,108,0.034983694553375244,0.025614291429519653,1.5709176063537598,6.566201686859131,4.803100109100342,0.4359908401966095,8.898148536682129,0.7592592835426331,0.8703703880310059,0.5,0.0555555559694767,0.4444444477558136,0.41935483870967744,False,True,0.7667097449302673,0.50893845139489,0.35893845139489,265,13,115,0,0.8984,0.7188
22,0.6828,0.3820670247077942,0.006780153406591438,128,0.3812735676765442,0.006765585392713547,0.41488128900527954,0.03360771760344505,0.36636388301849365,0.6168224215507507,107,0.036464493721723557,0.025614291429519653,1.5348373651504517,6.404592514038086,4.698175430297852,0.4477026164531708,8.570093154907227,0.7570093274116516,0.8598130941390991,0.4859813153743744,0.06542056053876877,0.44859811663627625,0.4393939393939394,False,True,0.7616944313049316,0.515597450541366,0.36559745054136594,269,4,124,0,0.9688,0.6875
23,0.7138,0.3922468423843384,0.007575723956151137,128,0.39308807253837585,0.007059670519083738,0.41490909457206726,0.021821007132530212,0.42072930932044983,0.6603773832321167,106,0.035080913454294205,0.024193018674850464,1.5500199794769287,6.723822593688965,4.696400165557861,0.44978609681129456,9.00943374633789,0.7641509175300598,0.8396226167678833,0.4245283007621765,0.056603774428367615,0.5188679099082947,0.4,False,True,0.7704346179962158,0.5198636303605815,0.36986363036058145,283,14,114,0,0.8906,0.6484
24,0.7448,0.4006827771663666,0.007864432854609582,128,0.3993114233016968,0.007097816560417414,0.4181091785430908,0.018797729164361954,0.44075196981430054,0.6792452931404114,106,0.032872289419174194,0.021460354328155518,1.551291584968567,6.672507286071777,4.478396415710449,0.44223859906196594,8.962264060974121,0.801886796951294,0.8773584961891174,0.4245283007621765,0.056603774428367615,0.5188679099082947,0.3888888888888889,False,True,0.7680754661560059,0.5256923899288934,0.3756923899288934,290,7,121,0,0.9453,0.6172
