arm,epoch,event_class,record_tag,record_seq,outcome,pre_sim,payload_cos_incumbent,effective_vigilance,incumbent_slot,incumbent_hit_counts,incumbent_last_write_seq,incumbent_n_records,owner_slot,injected_label
stale-oneshot,0,initial,clean,59,plain-miss,0.246263,0.0,0.3,21,1,21,1,59,-1
stale-oneshot,0,initial,clean,60,forked,0.52883,0.0,0.3,31,1,31,1,60,-1
stale-oneshot,0,initial,clean,61,plain-miss,0.200121,0.0,0.3,31,1,31,1,61,-1
stale-oneshot,0,initial,clean,62,plain-miss,0.191084,0.0,0.3,0,1,0,1,62,-1
stale-oneshot,0,initial,clean,63,plain-miss,0.232256,0.0,0.3,21,1,21,1,63,-1
stale-oneshot,0,initial,clean,64,plain-miss,0.16629,0.0,0.3,23,1,23,1,64,-1
stale-oneshot,0,initial,clean,65,forked,0.310828,0.0,0.3,20,1,20,1,65,-1
stale-oneshot,0,initial,clean,66,plain-miss,0.186056,0.0,0.3,20,1,20,1,66,-1
stale-oneshot,0,initial,clean,67,plain-miss,0.200958,0.0,0.3,28,1,28,1,67,-1
stale-oneshot,0,initial,clean,68,plain-miss,0.206466,0.0,0.3,20,1,20,1,68,-1
stale-oneshot,0,initial,clean,69,plain-miss,0.18548,0.0,0.3,20,1,20,1,69,-1
stale-oneshot,0,initial,clean,70,plain-miss,0.182545,0.0,0.3,27,1,27,1,70,-1
stale-oneshot,0,initial,clean,71,plain-miss,0.227416,0.0,0.3,22,1,22,1,71,-1
stale-oneshot,0,initial,clean,72,plain-miss,0.168465,0.0,0.3,22,1,22,1,72,-1
stale-oneshot,0,initial,clean,73,plain-miss,0.167607,0.0,0.3,20,1,20,1,73,-1
stale-oneshot,0,initial,clean,74,plain-miss,0.183979,0.0,0.3,20,1,20,1,74,-1
stale-oneshot,0,initial,clean,75,plain-miss,0.229363,0.0,0.3,20,1,20,1,75,-1
stale-oneshot,0,initial,clean,76,plain-miss,0.167008,0.0,0.3,20,1,20,1,76,-1
stale-oneshot,0,initial,clean,77,plain-miss,0.184601,0.0,0.3,20,1,20,1,77,-1
stale-oneshot,0,initial,clean,78,plain-miss,0.172426,0.0,0.3,27,1,27,1,78,-1
stale-oneshot,0,initial,clean,79,plain-miss,0.158661,0.0,0.3,17,1,17,1,79,-1
stale-oneshot,0,initial,clean,80,plain-miss,0.206259,0.0,0.3,20,1,20,1,80,-1
stale-oneshot,0,initial,clean,81,plain-miss,0.195011,0.0,0.3,20,1,20,1,81,-1
stale-oneshot,0,initial,clean,82,forked,0.329243,0.0,0.3,20,1,20,1,82,-1
stale-oneshot,0,initial,clean,83,plain-miss,0.203448,0.0,0.3,20,1,20,1,83,-1
stale-oneshot,0,initial,clean,84,plain-miss,0.296411,0.0,0.3,20,1,20,1,84,-1
stale-oneshot,0,initial,clean,85,forked,0.309876,0.0,0.3,20,1,20,1,85,-1
stale-oneshot,0,initial,clean,86,plain-miss,0.253861,0.0,0.3,20,1,20,1,86,-1
stale-oneshot,0,initial,clean,87,plain-miss,0.180233,0.0,0.3,20,1,20,1,87,-1
stale-oneshot,0,initial,clean,88,plain-miss,0.149083,0.0,0.3,22,1,22,1,88,-1
stale-oneshot,0,initial,clean,89,forked,0.316816,0.0,0.3,20,1,20,1,89,-1
stale-oneshot,0,initial,clean,90,plain-miss,0.128407,0.0,0.3,12,1,12,1,90,-1
stale-oneshot,0,initial,clean,91,plain-miss,0.263577,0.0,0.3,20,1,20,1,91,-1
stale-oneshot,0,initial,clean,92,plain-miss,0.18816,0.0,0.3,20,1,20,1,92,-1
stale-oneshot,0,initial,clean,93,plain-miss,0.214503,0.0,0.3,20,1,20,1,93,-1
stale-oneshot,0,initial,clean,94,plain-miss,0.285779,0.0,0.3,22,1,22,1,94,-1
stale-oneshot,0,initial,clean,95,plain-miss,0.193911,0.0,0.3,20,1,20,1,95,-1
stale-oneshot,0,initial,clean,96,plain-miss,0.171262,0.0,0.3,7,1,7,1,96,-1
stale-oneshot,0,initial,clean,97,plain-miss,0.19966,0.0,0.3,23,1,23,1,97,-1
stale-oneshot,0,initial,clean,98,plain-miss,0.118024,0.0,0.3,9,1,9,1,98,-1
stale-oneshot,0,initial,clean,99,plain-miss,0.249978,0.0,0.3,9,1,9,1,99,-1
stale-oneshot,0,initial,clean,100,plain-miss,0.265186,0.0,0.3,23,1,23,1,100,-1
stale-oneshot,0,initial,clean,101,plain-miss,0.229816,0.0,0.3,31,1,31,1,101,-1
