arm,epoch,event_class,record_tag,record_seq,outcome,pre_sim,payload_cos_incumbent,effective_vigilance,incumbent_slot,incumbent_hit_counts,incumbent_last_write_seq,incumbent_n_records,owner_slot,injected_label
stale-oneshot,0,initial,clean,58,plain-miss,0.033661,0.0,0.3,5,1,5,1,58,-1
stale-oneshot,0,initial,clean,59,plain-miss,0.061974,0.0,0.3,13,1,13,1,59,-1
stale-oneshot,0,initial,clean,60,plain-miss,0.141016,0.0,0.3,31,1,31,1,60,-1
stale-oneshot,0,initial,clean,61,plain-miss,0.227906,0.0,0.3,31,1,31,1,61,-1
stale-oneshot,0,initial,clean,62,plain-miss,0.282943,0.0,0.3,9,1,9,1,62,-1
stale-oneshot,0,initial,clean,63,plain-miss,0.064294,0.0,0.3,27,1,27,1,63,-1
stale-oneshot,0,initial,clean,64,plain-miss,0.096718,0.0,0.3,0,1,0,1,64,-1
stale-oneshot,0,initial,clean,65,plain-miss,0.102434,0.0,0.3,25,1,25,1,65,-1
stale-oneshot,0,initial,clean,66,plain-miss,0.099061,0.0,0.3,0,1,0,1,66,-1
stale-oneshot,0,initial,clean,67,plain-miss,0.131568,0.0,0.3,31,1,31,1,67,-1
stale-oneshot,0,initial,clean,68,plain-miss,0.111899,0.0,0.3,0,1,0,1,68,-1
stale-oneshot,0,initial,clean,69,plain-miss,0.049769,0.0,0.3,5,1,5,1,69,-1
stale-oneshot,0,initial,clean,70,plain-miss,0.099345,0.0,0.3,7,1,7,1,70,-1
stale-oneshot,0,initial,clean,71,plain-miss,0.105838,0.0,0.3,5,1,5,1,71,-1
stale-oneshot,0,initial,clean,72,plain-miss,0.074458,0.0,0.3,0,1,0,1,72,-1
stale-oneshot,0,initial,clean,73,plain-miss,0.221717,0.0,0.3,31,1,31,1,73,-1
stale-oneshot,0,initial,clean,74,plain-miss,0.228558,0.0,0.3,31,1,31,1,74,-1
stale-oneshot,0,initial,clean,75,plain-miss,0.171814,0.0,0.3,31,1,31,1,75,-1
stale-oneshot,0,initial,clean,76,plain-miss,0.153114,0.0,0.3,31,1,31,1,76,-1
stale-oneshot,0,initial,clean,77,plain-miss,0.073264,0.0,0.3,5,1,5,1,77,-1
stale-oneshot,0,initial,clean,78,plain-miss,0.09292,0.0,0.3,0,1,0,1,78,-1
stale-oneshot,0,initial,clean,79,plain-miss,0.065551,0.0,0.3,0,1,0,1,79,-1
stale-oneshot,0,initial,clean,80,plain-miss,0.291947,0.0,0.3,17,1,17,1,80,-1
stale-oneshot,0,initial,clean,81,plain-miss,0.101052,0.0,0.3,0,1,0,1,81,-1
stale-oneshot,0,initial,clean,82,plain-miss,0.141431,0.0,0.3,0,1,0,1,82,-1
stale-oneshot,0,initial,clean,83,plain-miss,0.107969,0.0,0.3,0,1,0,1,83,-1
stale-oneshot,0,initial,clean,84,plain-miss,0.103785,0.0,0.3,5,1,5,1,84,-1
stale-oneshot,0,initial,clean,85,plain-miss,0.121653,0.0,0.3,0,1,0,1,85,-1
stale-oneshot,0,initial,clean,86,plain-miss,0.069378,0.0,0.3,5,1,5,1,86,-1
stale-oneshot,0,initial,clean,87,plain-miss,0.081777,0.0,0.3,2,1,2,1,87,-1
stale-oneshot,0,initial,clean,88,plain-miss,0.134893,0.0,0.3,0,1,0,1,88,-1
stale-oneshot,0,initial,clean,89,plain-miss,0.244857,0.0,0.3,31,1,31,1,89,-1
stale-oneshot,0,initial,clean,90,plain-miss,0.131297,0.0,0.3,0,1,0,1,90,-1
stale-oneshot,0,initial,clean,91,plain-miss,0.138699,0.0,0.3,31,1,31,1,91,-1
stale-oneshot,0,initial,clean,92,forked,0.376945,0.0,0.3,17,1,17,1,92,-1
stale-oneshot,0,initial,clean,93,plain-miss,0.127968,0.0,0.3,25,1,25,1,93,-1
stale-oneshot,0,initial,clean,94,plain-miss,0.12287,0.0,0.3,25,1,25,1,94,-1
stale-oneshot,0,initial,clean,95,plain-miss,0.130196,0.0,0.3,25,1,25,1,95,-1
stale-oneshot,0,initial,clean,96,plain-miss,0.12661,0.0,0.3,25,1,25,1,96,-1
stale-oneshot,0,initial,clean,97,plain-miss,0.145367,0.0,0.3,9,1,9,1,97,-1
stale-oneshot,0,initial,clean,98,plain-miss,0.074576,0.0,0.3,4,1,4,1,98,-1
stale-oneshot,0,initial,clean,99,plain-miss,0.139926,0.0,0.3,25,1,25,1,99,-1
stale-oneshot,0,initial,clean,100,plain-miss,0.128634,0.0,0.3,24,1,24,1,100,-1
stale-oneshot,0,initial,clean,101,plain-miss,0.195581,0.0,0.3,31,1,31,1,101,-1
