predictor,concept,target,orientation,coverage,n_kept,accuracy,error_recall_abstained
vote_entropy,support_dispersion,vote_correct,1,0.2,930,0.957,0.9399
effective_support,manifold_support,vote_correct,1,1.0,4650,0.8568,0.0
effective_support,manifold_support,vote_correct,1,0.9,4185,0.8846,0.2748
effective_support,manifold_support,vote_correct,1,0.8,3720,0.8978,0.4294
effective_support,manifold_support,vote_correct,1,0.7,3255,0.9029,0.5255
effective_support,manifold_support,vote_correct,1,0.6,2790,0.9226,0.6757
effective_support,manifold_support,vote_correct,1,0.5,2325,0.9406,0.7928
effective_support,manifold_support,vote_correct,1,0.4,1860,0.9591,0.8859
effective_support,manifold_support,vote_correct,1,0.3,1395,0.9627,0.9219
effective_support,manifold_support,vote_correct,1,0.2,930,0.957,0.9399
max_vote_weight,peak_mass,vote_correct,-1,1.0,4650,0.8568,0.0
max_vote_weight,peak_mass,vote_correct,-1,0.9,4185,0.8846,0.2748
max_vote_weight,peak_mass,vote_correct,-1,0.8,3720,0.8978,0.4294
max_vote_weight,peak_mass,vote_correct,-1,0.7,3255,0.8971,0.497
max_vote_weight,peak_mass,vote_correct,-1,0.6,2790,0.9147,0.6426
max_vote_weight,peak_mass,vote_correct,-1,0.5,2325,0.9312,0.7598
max_vote_weight,peak_mass,vote_correct,-1,0.4,1860,0.9419,0.8378
max_vote_weight,peak_mass,vote_correct,-1,0.3,1395,0.9584,0.9129
max_vote_weight,peak_mass,vote_correct,-1,0.2,930,0.9527,0.9339
n_surviving_votes,support_breadth,vote_correct,1,1.0,4650,0.8568,0.0
n_surviving_votes,support_breadth,vote_correct,1,0.9,4185,0.8846,0.2748
n_surviving_votes,support_breadth,vote_correct,1,0.8,3720,0.9086,0.4895
n_surviving_votes,support_breadth,vote_correct,1,0.7,3255,0.926,0.6381
n_surviving_votes,support_breadth,vote_correct,1,0.6,2790,0.9441,0.7658
n_surviving_votes,support_breadth,vote_correct,1,0.5,2325,0.9617,0.8664
n_surviving_votes,support_breadth,vote_correct,1,0.4,1860,0.9634,0.8979
n_surviving_votes,support_breadth,vote_correct,1,0.3,1395,0.9699,0.9369
n_surviving_votes,support_breadth,vote_correct,1,0.2,930,0.9656,0.952
sim_floor_active,floor_level,vote_correct,1,1.0,4650,0.8568,0.0
sim_floor_active,floor_level,vote_correct,1,0.9,4185,0.8741,0.2087
sim_floor_active,floor_level,vote_correct,1,0.8,3720,0.8946,0.4114
sim_floor_active,floor_level,vote_correct,1,0.7,3255,0.9131,0.5751
sim_floor_active,floor_level,vote_correct,1,0.6,2790,0.9312,0.7117
sim_floor_active,floor_level,vote_correct,1,0.5,2325,0.9467,0.8138
sim_floor_active,floor_level,vote_correct,1,0.4,1860,0.9581,0.8829
sim_floor_active,floor_level,vote_correct,1,0.3,1395,0.967,0.9309
sim_floor_active,floor_level,vote_correct,1,0.2,930,0.9699,0.958
