predictor,concept,target,orientation,coverage,n_kept,accuracy,error_recall_abstained
vote_entropy,support_dispersion,vote_correct,1,0.2,967,0.9607,0.9513
effective_support,manifold_support,vote_correct,1,1.0,4835,0.8387,0.0
effective_support,manifold_support,vote_correct,1,0.9,4352,0.8637,0.2397
effective_support,manifold_support,vote_correct,1,0.8,3868,0.8617,0.3141
effective_support,manifold_support,vote_correct,1,0.7,3384,0.8762,0.4628
effective_support,manifold_support,vote_correct,1,0.6,2901,0.8883,0.5846
effective_support,manifold_support,vote_correct,1,0.5,2418,0.9086,0.7167
effective_support,manifold_support,vote_correct,1,0.4,1934,0.9297,0.8256
effective_support,manifold_support,vote_correct,1,0.3,1450,0.9483,0.9038
effective_support,manifold_support,vote_correct,1,0.2,967,0.9607,0.9513
max_vote_weight,peak_mass,vote_correct,-1,1.0,4835,0.8387,0.0
max_vote_weight,peak_mass,vote_correct,-1,0.9,4352,0.8637,0.2397
max_vote_weight,peak_mass,vote_correct,-1,0.8,3868,0.855,0.2808
max_vote_weight,peak_mass,vote_correct,-1,0.7,3384,0.8531,0.3628
max_vote_weight,peak_mass,vote_correct,-1,0.6,2901,0.8542,0.4577
max_vote_weight,peak_mass,vote_correct,-1,0.5,2418,0.8706,0.5987
max_vote_weight,peak_mass,vote_correct,-1,0.4,1934,0.8899,0.7269
max_vote_weight,peak_mass,vote_correct,-1,0.3,1450,0.9076,0.8282
max_vote_weight,peak_mass,vote_correct,-1,0.2,967,0.9235,0.9051
n_surviving_votes,support_breadth,vote_correct,1,1.0,4835,0.8387,0.0
n_surviving_votes,support_breadth,vote_correct,1,0.9,4352,0.8637,0.2397
n_surviving_votes,support_breadth,vote_correct,1,0.8,3868,0.8862,0.4359
n_surviving_votes,support_breadth,vote_correct,1,0.7,3384,0.906,0.5923
n_surviving_votes,support_breadth,vote_correct,1,0.6,2901,0.9249,0.7205
n_surviving_votes,support_breadth,vote_correct,1,0.5,2418,0.9433,0.8244
n_surviving_votes,support_breadth,vote_correct,1,0.4,1934,0.9617,0.9051
n_surviving_votes,support_breadth,vote_correct,1,0.3,1450,0.9786,0.9603
n_surviving_votes,support_breadth,vote_correct,1,0.2,967,0.9959,0.9949
sim_floor_active,floor_level,vote_correct,1,1.0,4835,0.8387,0.0
sim_floor_active,floor_level,vote_correct,1,0.9,4352,0.8493,0.159
sim_floor_active,floor_level,vote_correct,1,0.8,3868,0.8534,0.2731
sim_floor_active,floor_level,vote_correct,1,0.7,3384,0.8534,0.3641
sim_floor_active,floor_level,vote_correct,1,0.6,2901,0.849,0.4385
sim_floor_active,floor_level,vote_correct,1,0.5,2418,0.8391,0.5013
sim_floor_active,floor_level,vote_correct,1,0.4,1934,0.8314,0.5821
sim_floor_active,floor_level,vote_correct,1,0.3,1450,0.8248,0.6744
sim_floor_active,floor_level,vote_correct,1,0.2,967,0.8087,0.7628
