query_id,width,truth_in_set,truth_in_alts,deployed_correct,P-assert,P-uniform,P-alt-uniform
pairD_oneshot_s2:e7:p0,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e7:p1,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e7:p4,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e7:p9,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e7:p12,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e7:p13,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e7:p15,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e7:p19,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e7:p21,3,1,1,0,0.0,0.333333,0.5
pairD_oneshot_s2:e7:p22,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e7:p23,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e7:p25,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e7:p26,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e7:p28,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e7:p29,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e7:p30,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e7:p31,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e7:p32,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e7:p36,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e7:p37,3,1,1,0,0.0,0.333333,0.5
pairD_oneshot_s2:e7:p38,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e7:p40,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e7:p42,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e7:p43,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e7:p45,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e7:p47,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e7:p48,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e7:p49,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e7:p51,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e7:p53,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e7:p55,2,1,0,1,1.0,0.5,0.0
pairD_oneshot_s2:e7:p56,3,1,1,0,0.0,0.333333,0.5
pairD_oneshot_s2:e7:p59,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e7:p61,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e7:p62,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e8:p0,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e8:p1,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e8:p4,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e8:p9,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e8:p12,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e8:p13,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e8:p19,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e8:p21,3,1,1,0,0.0,0.333333,0.5
pairD_oneshot_s2:e8:p22,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e8:p23,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e8:p25,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e8:p26,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e8:p28,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e8:p29,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e8:p30,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e8:p31,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e8:p32,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e8:p36,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e8:p37,3,1,1,0,0.0,0.333333,0.5
pairD_oneshot_s2:e8:p38,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e8:p40,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e8:p42,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e8:p43,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e8:p45,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e8:p47,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e8:p48,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e8:p49,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e8:p51,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e8:p53,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e8:p55,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e8:p56,3,1,1,0,0.0,0.333333,0.5
pairD_oneshot_s2:e8:p59,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e8:p61,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e8:p62,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e9:p0,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e9:p1,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e9:p4,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e9:p9,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e9:p12,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e9:p13,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e9:p19,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e9:p21,3,1,1,0,0.0,0.333333,0.5
pairD_oneshot_s2:e9:p22,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e9:p23,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e9:p25,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e9:p26,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e9:p28,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e9:p29,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e9:p30,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e9:p31,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e9:p32,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e9:p36,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e9:p37,3,1,1,0,0.0,0.333333,0.5
pairD_oneshot_s2:e9:p38,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e9:p40,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e9:p42,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e9:p43,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e9:p45,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e9:p47,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e9:p48,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e9:p49,2,1,1,0,0.0,0.5,1.0
pairD_oneshot_s2:e9:p51,2,1,1,0,0.0,0.5,1.0
