epoch,contraction,rho_inband,var_inband,n_inband,rho_probe,var_probe,within_probe,margin_probe,offclass_weight,frac_blended,n_vote,chimera_onset,blend_onset,mean_v_eff
0,0.0,nan,nan,0,0.24160060286521912,0.003752640448510647,0.438800573348999,0.1971999704837799,0.11058264970779419,0.28125,160,False,True,0.85
1,0.0422,0.23977134227752686,0.0029931233176051786,160,0.2412647306919098,0.003730258671566844,0.4355531334877014,0.19428838789463043,0.11029496043920517,0.28125,160,False,True,0.6945628166198731
2,0.0843,0.24122884273529052,0.002994827931524363,160,0.2426634281873703,0.003343119053170085,0.432606041431427,0.18994258344173431,0.11238753795623779,0.28125,160,False,True,0.7015070438385009
3,0.1265,0.24342832565307618,0.003011157750361232,160,0.24876031279563904,0.00348906172439456,0.42958956956863403,0.18082919716835022,0.1253814995288849,0.3062500059604645,160,False,True,0.7089390754699707
4,0.1687,0.24585332870483398,0.0030173669896521454,160,0.25297173857688904,0.0035493457689881325,0.4208434522151947,0.16787169873714447,0.14073394238948822,0.33125001192092896,160,False,True,0.7163102149963378
5,0.2109,0.2487175226211548,0.003091431004031045,160,0.25369518995285034,0.003642316674813628,0.415477991104126,0.16178283095359802,0.15143489837646484,0.3499999940395355,160,False,True,0.7149640083312988
6,0.253,0.2513697624206543,0.0030955625631668288,160,0.2670436501502991,0.003659034613519907,0.41356363892555237,0.14651994407176971,0.17072004079818726,0.3687500059604645,160,False,True,0.727860403060913
7,0.2952,0.26001863479614257,0.0030629169806252465,160,0.2707405686378479,0.003487379988655448,0.4116697311401367,0.1409291923046112,0.1687764823436737,0.375,160,False,True,0.7237529754638672
8,0.3374,0.2653848648071289,0.0030970354404053074,160,0.28043848276138306,0.003515969030559063,0.40961942076683044,0.1291809380054474,0.18394097685813904,0.42500001192092896,160,False,True,0.7346839904785156
9,0.3796,0.2739207983016968,0.00326855778539481,160,0.2931670546531677,0.003840626683086157,0.40863147377967834,0.11546441167593002,0.20190978050231934,0.45625001192092896,160,False,True,0.7322252273559571
10,0.4217,0.2855337142944336,0.003671439563877374,160,0.3047484755516052,0.0038864563684910536,0.4112299978733063,0.10648151487112045,0.2062438726425171,0.4937500059604645,160,False,True,0.7381138801574707
11,0.4639,0.300299072265625,0.004322218857705576,160,0.32038503885269165,0.00427283113822341,0.4132620692253113,0.09287702292203903,0.21992890536785126,0.5375000238418579,160,False,True,0.7397199153900147
12,0.5061,0.317195725440979,0.004625595516853875,160,0.34199368953704834,0.004383320454508066,0.410631000995636,0.06863736361265182,0.2967320382595062,0.65625,160,False,True,0.7633196353912354
13,0.5483,0.33673391342163084,0.00523990593209421,160,0.3488609790802002,0.004516900517046452,0.4144364297389984,0.06557546555995941,0.3063746988773346,0.6937500238418579,160,False,True,0.7465157032012939
14,0.5904,0.3510905742645264,0.0056381777513501985,160,0.3629000782966614,0.005223194602876902,0.4166926443576813,0.05379258841276169,0.3417049050331116,0.75,160,False,True,0.7582110404968262
15,0.6326,0.3628136396408081,0.005180261112940926,160,0.3715706765651703,0.005883396603167057,0.41392192244529724,0.042351238429546356,0.37496528029441833,0.7562500238418579,160,False,True,0.755703353881836
16,0.6748,0.36881444454193113,0.005448042471561526,160,0.3836662173271179,0.006719524040818214,0.41446104645729065,0.03079480305314064,0.40358203649520874,0.7749999761581421,160,False,True,0.7584537982940673
17,0.717,0.38439438343048093,0.005795862448007366,160,0.39228540658950806,0.00647077988833189,0.4181918203830719,0.02590639516711235,0.4289059638977051,0.800000011920929,160,False,True,0.7666459083557129
18,0.7591,0.40465335845947265,0.00538333835862434,160,0.40682536363601685,0.006747790612280369,0.4207614064216614,0.013936037197709084,0.4742099344730377,0.8687499761581421,160,False,True,0.7793961048126221
19,0.8013,0.4198616027832031,0.00618036920146553,160,0.4206705689430237,0.007500055246055126,0.42273083329200745,0.0020602927543222904,0.5180487632751465,0.9125000238418579,160,False,True,0.7720476627349854
20,0.8435,0.4294145584106445,0.005731940278164982,160,0.43962040543556213,0.006012700963765383,0.42415791749954224,-0.015462489798665047,0.5987361073493958,0.956250011920929,160,False,True,0.7824718475341796
21,0.8857,0.44321613311767577,0.005694497720069219,160,0.45200634002685547,0.005796494893729687,0.4262348711490631,-0.025771429762244225,0.656433641910553,0.9750000238418579,160,False,True,0.7783411979675293
22,0.9278,0.454133129119873,0.004910600120265396,160,0.4637448191642761,0.005598807241767645,0.4350079894065857,-0.028736848384141922,0.6859443783760071,0.987500011920929,160,False,True,0.7944624900817872
23,0.97,0.47297096252441406,0.004493563670985162,160,0.480856716632843,0.005805902648717165,0.4456782937049866,-0.035178445279598236,0.731714129447937,1.0,160,False,True,0.7933428287506104
